Country/Region,Confirmed,Deaths,Mortality Rate
Mainland China,42306,1011,2.38973195291448
Others,135,0,0.0
Singapore,45,0,0.0
Hong Kong,38,1,2.631578947368421
Thailand,32,0,0.0
South Korea,27,0,0.0
Japan,26,0,0.0
Taiwan,18,0,0.0
Malaysia,18,0,0.0
Australia,15,0,0.0
Vietnam,14,0,0.0
Germany,14,0,0.0
US,12,0,0.0
France,11,0,0.0
Macau,10,0,0.0
United Arab Emirates,8,0,0.0
UK,8,0,0.0
Canada,7,0,0.0
India,3,0,0.0
Philippines,3,1,33.33333333333333
Italy,3,0,0.0
Spain,2,0,0.0
Russia,2,0,0.0
Sweden,1,0,0.0
Sri Lanka,1,0,0.0
Cambodia,1,0,0.0
Finland,1,0,0.0
Belgium,1,0,0.0
Nepal,1,0,0.0
